updateDate,code,code_name
2020-06-29,sz.300026,红日药业
2020-06-29,sz.300058,蓝色光标
2020-06-29,sz.300070,碧水源
2020-06-29,sz.300072,三聚环保
2020-06-29,sz.300088,长信科技
2020-06-29,sz.300113,顺网科技
2020-06-29,sz.300115,长盈精密
2020-06-29,sz.300133,华策影视
2020-06-29,sz.300134,大富科技
2020-06-29,sz.300166,东方国信
2020-06-29,sz.300168,万达信息
2020-06-29,sz.300180,华峰超纤
2020-06-29,sz.300182,捷成股份
2020-06-29,sz.300197,铁汉生态
2020-06-29,sz.300207,欣旺达
2020-06-29,sz.300212,易华录
2020-06-29,sz.300244,迪安诊断
2020-06-29,sz.300251,光线传媒
2020-06-29,sz.300253,卫宁健康
2020-06-29,sz.300257,开山股份
2020-06-29,sz.300271,华宇软件
2020-06-29,sz.300274,阳光电源
2020-06-29,sz.300285,国瓷材料
2020-06-29,sz.300296,利亚德
2020-06-29,sz.300315,掌趣科技
2020-06-29,sz.300316,晶盛机电
2020-06-29,sz.300324,旋极信息
2020-06-29,sz.300357,我武生物
2020-06-29,sz.300376,易事特
2020-06-29,sz.300418,昆仑万维
2020-06-29,sz.300459,金科文化
2020-06-29,sz.300474,景嘉微
2020-06-29,sz.300482,万孚生物
2020-06-29,sz.300496,中科创达
2020-06-29,sz.300558,贝达药业
2020-06-29,sz.300595,欧普康视
2020-06-29,sz.300618,寒锐钴业
2020-06-29,sz.300630,普利制药
